salary_in_usd,prediction
95000,167419.0516077844
97500,167419.0516077844
99100,165870.4917601387
100000,165870.4917601387
100000,165870.4917601387
100000,165870.4917601387
100000,167419.0516077844
100706,165870.4917601387
101570,167419.0516077844
101570,167419.0516077844
101570,167419.0516077844
102000,165870.4917601387
102100,165870.4917601387
102492,99198.23936246273
103000,165870.4917601387
104000,167419.0516077844
104611,95752.55920762279
105000,165870.4917601387
105000,167419.0516077844
105000,167419.0516077844
105700,165870.4917601387
105700,165870.4917601387
105700,165870.4917601387
106500,165870.4917601387
106800,165870.4917601387
106800,165870.4917601387
106800,165870.4917601387
106800,167419.0516077844
107000,167419.0516077844
108308,140726.8418200961
108768,165870.4917601387
108800,165870.4917601387
109400,165870.4917601387
109500,167419.0516077844
110000,165870.4917601387
110000,167419.0516077844
110000,167419.0516077844
110700,165870.4917601387
110736,99198.23936246273
111000,165870.4917601387
111000,167419.0516077844
111000,167419.0516077844
112200,165870.4917601387
112400,145580.36423181818
113000,165870.4917601387
113476,95752.55920762279
